timestamp,safety_switch_available,safety_off,override_available,override_enabled
368334159,1,1,0,0
369346848,1,1,0,0
370357470,1,1,0,0
371365860,1,1,0,0
372368658,1,1,0,0
373386400,1,1,0,0
374392137,1,1,0,0
375393638,1,1,0,0
376406603,1,1,0,0
377418474,1,1,0,0
378436172,1,1,0,0
379450771,1,1,0,0
380465973,1,1,0,0
381475894,1,1,0,0
382489578,1,1,0,0
383504231,1,1,0,0
384509983,1,1,0,0
385521966,1,1,0,0
386537753,1,1,0,0
387555444,1,1,0,0
388567289,1,1,0,0
389573326,1,1,0,0
390574607,1,1,0,0
391587720,1,1,0,0
392599664,1,1,0,0
393603165,1,1,0,0
394623107,1,1,0,0
395630659,1,1,0,0
396646040,1,1,0,0
397655369,1,1,0,0
398658138,1,1,0,0
399667487,1,1,0,0
400683612,1,1,0,0
401700756,1,1,0,0
402714368,1,1,0,0
403717334,1,1,0,0
404735197,1,1,0,0
405752797,1,1,0,0
406763415,1,1,0,0
407776343,1,1,0,0
408787028,1,1,0,0
409803499,1,1,0,0
410817654,1,1,0,0
411838580,1,1,0,0
412848760,1,1,0,0
413864000,1,1,0,0
414872770,1,1,0,0
415887445,1,1,0,0
416897472,1,1,0,0
417912250,1,1,0,0
418922874,1,1,0,0
419923004,1,1,0,0
420937506,1,1,0,0
421956577,1,1,0,0
422966880,1,1,0,0
423978731,1,1,0,0
424987482,1,1,0,0
