timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
368290706,46080.0,1.0,16370.148,0.0,134932,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369050968,46080.0,1.0,14061.08,0.0,135231,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369798071,46080.0,1.0,16414.08,0.0,135523,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370557907,46080.0,1.0,16231.615,0.0,135821,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372063409,46080.0,1.0,16424.39,0.0,136411,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372827612,46080.0,1.0,16322.633,0.0,136713,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373582997,46080.0,1.0,16438.732,0.0,137007,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374333713,46080.0,1.0,16438.732,0.0,137302,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375850033,46080.0,1.0,16438.537,0.0,137894,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376606622,46080.0,1.0,16300.911,0.0,138186,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377364710,46080.0,1.0,16300.911,0.0,138488,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378874992,46080.0,1.0,16297.08,0.0,139073,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379633997,46080.0,1.0,16556.246,0.0,139376,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380385887,46080.0,1.0,16556.246,0.0,139667,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381892705,46080.0,1.0,16420.914,0.0,140255,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382653054,46080.0,1.0,16297.163,0.0,140555,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383406272,46080.0,1.0,16297.163,0.0,140849,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384925481,46080.0,1.0,16263.811,0.0,141447,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385674031,46080.0,1.0,16421.373,0.0,141737,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386431108,46080.0,1.0,16784.508,0.0,142037,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387945160,46080.0,1.0,16400.19,0.0,142627,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388697659,46080.0,1.0,16202.184,0.0,142914,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389446932,46080.0,1.0,16432.182,0.0,143215,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390964175,46080.0,1.0,16213.34,0.0,143804,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391719901,46080.0,1.0,16440.854,0.0,144098,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392477625,46080.0,1.0,16294.899,0.0,144395,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393991001,46080.0,1.0,16432.346,0.0,144988,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394747712,46080.0,1.0,16307.527,0.0,145287,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395507460,46080.0,1.0,16433.955,0.0,145583,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397028873,46080.0,1.0,16257.027,0.0,146180,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397788691,46080.0,1.0,16451.145,0.0,146475,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398536857,46080.0,1.0,16433.064,0.0,146769,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400043171,46080.0,1.0,16400.797,0.0,147358,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400804764,46080.0,1.0,16229.834,0.0,147651,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401566213,46080.0,1.0,16436.041,0.0,147953,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403073658,46080.0,1.0,16240.574,0.0,148538,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403829264,46080.0,1.0,16402.791,0.0,148841,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404580843,46080.0,1.0,16304.575,0.0,149128,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405338045,46080.0,1.0,16304.575,0.0,149432,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406849975,46080.0,1.0,16274.377,0.0,150019,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407611877,46080.0,1.0,16451.03,0.0,150315,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408365749,46080.0,1.0,16451.03,0.0,150613,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409877568,46080.0,1.0,16454.777,0.0,151201,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410632174,46080.0,1.0,16422.992,0.0,151501,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411392292,46080.0,1.0,16422.992,0.0,151797,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412903952,46080.0,1.0,16233.947,0.0,152382,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413660316,46080.0,1.0,16416.95,0.0,152683,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414411247,46080.0,1.0,16416.95,0.0,152974,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415917577,46080.0,1.0,16478.574,0.0,153561,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416671686,46080.0,1.0,16303.664,0.0,153861,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417431180,46080.0,1.0,16303.664,0.0,154163,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418943835,46080.0,1.0,16287.38,0.0,154752,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419698815,46080.0,1.0,16447.46,0.0,155043,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420462208,46080.0,1.0,16447.46,0.0,155344,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421976628,46080.0,1.0,16417.998,0.0,155936,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422725242,46080.0,1.0,16412.713,0.0,156236,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423485765,46080.0,1.0,16451.209,0.0,156529,61,0.0,0,0,0,0,0,0.0,0,2,0,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
