timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
368569830,368566779,1114122,2228234,-5.6668618e-05,3.8309045e-05,-5.757221e-06,0.0012262586,-0.0005145061,-0.052697193,4514,5634,0,3
369072146,369071946,1114122,2228234,-3.653176e-05,1.5654589e-06,7.588516e-05,-0.00097489665,-0.0025072726,-0.040194895,4588,4201,0,3
369568981,369568840,1114122,2228234,-3.1059662e-05,-0.00010512354,2.8951843e-05,-0.0014678349,-0.0015064969,-0.044103123,5198,4324,0,3
370073400,370073142,1114122,2228234,2.0279249e-05,-4.623715e-05,4.2261716e-05,0.00066420645,-0.001097488,-0.05780862,5232,5827,0,3
370572822,370572331,1114122,2228234,-5.335241e-05,2.0889827e-05,4.4574226e-05,0.00010303226,0.0024486023,-0.05850358,4562,6145,0,3
371070472,371070339,1114122,2228234,-2.4943503e-05,-7.432069e-05,-1.6082548e-05,0.0014182328,0.0024085261,-0.04258767,4798,4544,0,3
371573850,371573587,1114122,2228234,-2.7470915e-05,-1.2615042e-05,-8.619612e-05,-0.0019199138,0.0029408052,-0.043946438,4551,4581,0,3
372074454,372074200,1114122,2228234,1.0858682e-05,-2.3225632e-05,-0.000107391046,0.0042026923,0.0023759264,-0.040824566,4560,4469,0,3
372576442,372576310,1114122,2228234,3.3863435e-05,1.392437e-05,9.3575654e-05,3.9798815e-05,0.0036664286,-0.053718552,5180,5751,0,3
373070416,373070205,1114122,2228234,-0.00010512865,5.81096e-05,-7.688031e-05,0.00048489912,0.0023816302,-0.04141557,5274,4402,0,3
373569542,373569276,1114122,2228234,-2.0635096e-05,2.137699e-05,0.00010404416,-0.00019187228,0.0010629741,-0.047263555,5225,4949,0,3
374069297,374069190,1114122,2228234,2.3357736e-05,6.550594e-05,-0.00014006668,-0.0018986401,-0.0048400294,-0.055138767,5868,5565,0,3
374574670,374574293,1114122,2228234,-9.943806e-05,-1.8052405e-06,0.00010723436,-0.0015835138,-0.00096641283,-0.044950742,4497,4500,0,3
375072226,375068971,1114122,2228234,3.6202855e-05,4.5700323e-05,0.0001431708,-0.0023946222,-0.00053467194,-0.058912363,4493,5702,0,3
375574418,375574090,1114122,2228234,-0.000101639605,2.5891564e-05,1.1563238e-05,0.0005309149,-0.0006022014,-0.048700575,4526,4531,0,3
376070462,376070261,1114122,2228234,-0.00039364604,-0.00038294774,-4.0939703e-05,-0.006993557,-0.005784947,-0.060308494,5945,6025,0,3
376570270,376570120,1114122,2228234,-0.00036231172,0.00043470188,-9.5277544e-05,0.0027682723,-0.0027967428,-0.041071918,5290,4474,0,3
377071112,377070625,1114122,2228234,0.00040245053,-6.095736e-05,5.88482e-05,-0.0012313436,-0.00025699733,-0.048482697,5149,4410,0,3
377570812,377570621,1114122,2228234,3.0596134e-06,-7.769965e-05,0.00016109983,-0.0022036857,0.0029583909,-0.050232492,5882,5881,0,3
378071343,378069754,1114122,2228234,-5.4773198e-05,-0.00011776566,4.49956e-05,-0.0027536417,0.0009958224,-0.061467975,4482,4482,0,3
379069684,379069533,1114122,2228234,-0.00031806214,0.00030808023,-9.300474e-05,-0.0008761183,0.00017012024,-0.042196408,5486,5755,0,3
379571734,379570975,1114122,2228234,-3.3430373e-05,0.00016420358,-4.250678e-05,0.004805011,-0.0027433606,-0.03568331,5274,4420,0,3
380071586,380071474,1114122,2228234,0.00013703239,-0.0005188583,0.0001849564,-0.008966837,0.004112055,-0.06971761,11127,5875,0,3
380573553,380571409,1114122,2228234,9.228437e-05,-0.00019676192,6.922923e-05,-0.005557566,-0.0017136879,-0.05655852,4515,4482,0,3
381074020,381073911,1114122,2228234,0.0001162609,-0.0001122611,-0.00014479,0.0024984735,-0.007560672,-0.046598084,4870,5476,0,3
381569762,381568203,1114122,2228234,-0.0004151471,0.000512403,4.387436e-05,0.0012741454,-0.0062007243,-0.033319622,5228,5488,0,3
382073580,382071824,1114122,2228234,-0.00031177967,0.00019604107,-2.3041173e-07,-0.0027984502,0.00127183,-0.02817929,4483,4624,0,3
382573429,382572552,1114122,2228234,-9.934236e-05,0.0004777239,-4.3163545e-05,0.0031693887,0.006347764,-0.05314961,4592,4856,0,3
383068919,383068580,1114122,2228234,-0.0003661509,5.385302e-05,3.9416464e-06,-0.00043827135,0.0029404357,-0.056439787,4498,4427,0,3
383571504,383570787,1114122,2228234,-0.00014987757,2.5785315e-05,-1.2067015e-05,0.0017402365,0.0047195014,-0.04671929,4559,4451,0,3
384073011,384071478,1114122,2228234,-0.000114903945,5.7750112e-05,2.121202e-05,0.004696847,-0.0016531484,-0.023789514,4583,4479,0,3
384572162,384570553,1114122,2228234,0.00011608794,4.5602745e-05,3.431782e-05,-0.0057198517,0.0053037363,-0.06380199,4477,4505,0,3
385072965,385071190,1114122,2228234,-0.0001653103,6.871381e-05,0.000113914255,0.0013332799,0.009221592,-0.05756902,4550,4485,0,3
385570644,385570268,1114122,2228234,5.2982894e-05,-0.00018503629,3.4890033e-06,-0.006794991,-0.0044229305,-0.050662056,5443,6119,0,3
386071895,386071755,1114122,2228234,-0.00022204687,-0.000108343105,-9.836034e-05,0.0017356836,0.0013374826,-0.050402526,5001,4516,0,3
386571945,386571629,1114122,2228234,-0.00026051453,-0.00024149613,8.301638e-05,-0.003338022,0.0018625322,-0.056607246,5946,4511,0,3
387073842,387072215,1114122,2228234,-7.772927e-06,-2.4265095e-05,1.8687739e-06,-0.0035989627,0.004187745,-0.049934696,4462,4350,0,3
387572981,387572821,1114122,2228234,0.00016779992,0.00013305909,4.4734545e-05,-0.0059250295,-0.009787389,-0.039003167,5796,5945,0,3
388072272,388072084,1114122,2228234,-0.00013164229,1.8360923e-06,-3.5192017e-05,0.002951206,-0.0008689481,-0.04989801,5480,5744,0,3
388572949,388572618,1114122,2228234,-4.0767958e-05,0.0004001118,-1.9784664e-05,0.00061262527,0.009029561,-0.07183419,5510,6045,0,3
389064897,389064401,1114122,2228234,-8.590294e-05,3.4218865e-05,9.725924e-06,-0.0033447878,0.0029910863,-0.04346506,4588,4560,0,3
