timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
368222741,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
368724964,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
369229623,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
369732490,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
370232964,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
370736568,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
371244674,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
371744793,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
372253589,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
372759368,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
373264482,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
373771841,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
374278127,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
374782884,174959844,0,367710982,0,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
375287924,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
375792509,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
376293950,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
376803556,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
377306482,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
377813880,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
378321945,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
378827011,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
379334474,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
379836073,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
380341312,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
380850691,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
381354565,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
381859514,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
382363523,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
382865513,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
383372411,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
383879714,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
384382669,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
384888523,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
385396890,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
385900806,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
386408580,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
386914473,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
387418733,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
387919540,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
388423821,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
388925914,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
389431013,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
389933783,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
390437472,174959844,0,367710982,375287553,304709676,304185356,305102895,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
